┌────────────────────────────────────────┬──────┬─────────────────┐
│               Publisher                │ Year │ Platforms_Count │
│ Take-Two Interactive                   │ 2013 │ 5               │
│ Take-Two Interactive                   │ 2014 │ 6               │
│ Take-Two Interactive                   │ 2015 │ 6               │
│ Take-Two Interactive                   │ 2016 │ 5               │
│ Tecmo Koei                             │ 2002 │ 4               │
│ Tecmo Koei                             │ 2004 │ 4               │
│ Tecmo Koei                             │ 2005 │ 4               │
│ Tecmo Koei                             │ 2006 │ 5               │
│ Tecmo Koei                             │ 2007 │ 6               │
│ Tecmo Koei                             │ 2008 │ 6               │
│ Tecmo Koei                             │ 2009 │ 6               │
│ Tecmo Koei                             │ 2010 │ 5               │
│ Tecmo Koei                             │ 2011 │ 7               │
│ Tecmo Koei                             │ 2012 │ 4               │
│ Tecmo Koei                             │ 2013 │ 6               │
│ Tecmo Koei                             │ 2014 │ 7               │
│ Tecmo Koei                             │ 2015 │ 6               │
│ Tecmo Koei                             │ 2016 │ 4               │
│ Telltale Games                         │ 2014 │ 5               │
│ Telltale Games                         │ 2015 │ 4               │
│ Tru Blu Entertainment                  │ 2015 │ 4               │
│ Ubisoft                                │ 2000 │ 5               │
│ Ubisoft                                │ 2001 │ 4               │
│ Ubisoft                                │ 2002 │ 5               │
│ Ubisoft                                │ 2003 │ 5               │
│ Ubisoft                                │ 2004 │ 7               │
│ Ubisoft                                │ 2005 │ 8               │
│ Ubisoft                                │ 2006 │ 9               │
│ Ubisoft                                │ 2007 │ 9               │
│ Ubisoft                                │ 2008 │ 7               │
│ Ubisoft                                │ 2009 │ 7               │
│ Ubisoft                                │ 2010 │ 6               │
│ Ubisoft                                │ 2011 │ 7               │
│ Ubisoft                                │ 2012 │ 7               │
│ Ubisoft                                │ 2013 │ 8               │
│ Ubisoft                                │ 2014 │ 8               │
│ Ubisoft                                │ 2015 │ 9               │
│ Ubisoft                                │ 2016 │ 4               │
│ Ubisoft Annecy                         │ 2012 │ 4               │
│ Universal Interactive                  │ 2002 │ 4               │
│ Universal Interactive                  │ 2003 │ 4               │
│ Unknown                                │ 2010 │ 5               │
│ Unknown                                │ 2011 │ 6               │
│ Unknown                                │ 2012 │ 5               │
│ Unknown                                │ N/A  │ 13              │
│ Virgin Interactive                     │ 2000 │ 4               │
│ Vivendi Games                          │ 2002 │ 5               │
│ Vivendi Games                          │ 2003 │ 5               │
│ Vivendi Games                          │ 2004 │ 5               │
│ Vivendi Games                          │ 2005 │ 7               │
│ Vivendi Games                          │ 2006 │ 9               │
│ Vivendi Games                          │ 2007 │ 7               │
│ Vivendi Games                          │ 2008 │ 6               │
│ Warner Bros. Interactive Entertainment │ 2007 │ 5               │
│ Warner Bros. Interactive Entertainment │ 2008 │ 6               │
│ Warner Bros. Interactive Entertainment │ 2009 │ 6               │
│ Warner Bros. Interactive Entertainment │ 2010 │ 7               │
│ Warner Bros. Interactive Entertainment │ 2011 │ 6               │
│ Warner Bros. Interactive Entertainment │ 2012 │ 8               │
│ Warner Bros. Interactive Entertainment │ 2013 │ 9               │
│ Warner Bros. Interactive Entertainment │ 2014 │ 8               │
│ Warner Bros. Interactive Entertainment │ 2015 │ 8               │
│ Warner Bros. Interactive Entertainment │ 2016 │ 7               │
│ Warner Bros. Interactive Entertainment │ N/A  │ 7               │
│ Zoo Digital Publishing                 │ 2005 │ 4               │
└────────────────────────────────────────┴──────┴─────────────────┘
