┌────────────────────────────────────────┬───────────────────┐
│               Publisher                │    Total_Sales    │
├────────────────────────────────────────┼───────────────────┤
│ Moss                                   │ 2.34              │
│ Havas Interactive                      │ 2.34              │
│ DreamWorks Interactive                 │ 2.34              │
│ Insomniac Games                        │ 2.16              │
│ T&E Soft                               │ 2.16              │
│ SPS                                    │ 2.16              │
│ NDA Productions                        │ 2.16              │
│ FunSoft                                │ 2.16              │
│ Flight-Plan                            │ 2.16              │
│ Bohemia Interactive                    │ 2.16              │
│ TopWare Interactive                    │ 2.16              │
│ LSP Games                              │ 2.16              │
│ dramatic create                        │ 1.98              │
│ Tradewest                              │ 1.98              │
│ Ascaron Entertainment GmbH             │ 1.98              │
│ Pack-In-Video                          │ 1.98              │
│ 10TACLE Studios                        │ 1.98              │
│ TOHO                                   │ 1.98              │
│ Simon & Schuster Interactive           │ 1.98              │
│ PopTop Software                        │ 1.98              │
│ Gameloft                               │ 1.98              │
│ TGL                                    │ 1.8               │
│ Interchannel                           │ 1.8               │
│ Creative Core                          │ 1.8               │
│ 1C Company                             │ 1.8               │
│ inXile Entertainment                   │ 1.8               │
│ Type-Moon                              │ 1.8               │
│ PM Studios                             │ 1.8               │
│ Interplay Productions                  │ 1.8               │
│ Image Epoch                            │ 1.8               │
│ GameTek                                │ 1.8               │
│ Enjoy Gaming ltd.                      │ 1.8               │
│ Groove Games                           │ 1.62              │
│ Edia                                   │ 1.62              │
│ Athena                                 │ 1.62              │
│ Arika                                  │ 1.62              │
│ Phantom EFX                            │ 1.62              │
│ Origin Systems                         │ 1.62              │
│ Nippon Amuse                           │ 1.62              │
│ Hearty Robin                           │ 1.62              │
│ Griffin International                  │ 1.62              │
│ Culture Publishers                     │ 1.62              │
│ Yuke's                                 │ 1.44              │
│ KID                                    │ 1.44              │
│ 7G//AMES                               │ 1.44              │
│ MC2 Entertainment                      │ 1.44              │
│ Iceberg Interactive                    │ 1.44              │
│ Crimson Cow                            │ 1.44              │
│ Flashpoint Games                       │ 1.44              │
│ Cloud Imperium Games Corporation       │ 1.44              │
│ Seventh Chord                          │ 1.44              │
│ Mitsui                                 │ 1.44              │
│ Milestone                              │ 1.44              │
│ Glams                                  │ 1.44              │
│ Abylight                               │ 1.44              │
│ Princess Soft                          │ 1.26              │
│ Licensed 4U                            │ 1.26              │
│ Encore                                 │ 1.26              │
│ Warp                                   │ 1.26              │
│ Revolution Software                    │ 1.26              │
│ Misawa                                 │ 1.26              │
│ Locus                                  │ 1.26              │
│ Evolution Games                        │ 1.26              │
│ Elite                                  │ 1.26              │
│ Coconuts Japan                         │ 1.26              │
│ Aria                                   │ 1.26              │
│ Altron                                 │ 1.26              │
│ Office Create                          │ 1.08              │
│ iWin                                   │ 1.08              │
│ Zenrin                                 │ 1.08              │
│ Yumedia                                │ 1.08              │
│ Virtual Play Games                     │ 1.08              │
│ Sonnet                                 │ 1.08              │
│ Imax                                   │ 1.08              │
│ HAL Laboratory                         │ 1.08              │
│ Grand Prix Games                       │ 1.08              │
│ Fortyfive                              │ 1.08              │
│ Experience Inc.                        │ 1.08              │
│ Ecole                                  │ 1.08              │
│ DigiCube                               │ 1.08              │
│ System Soft                            │ 0.900000000000001 │
│ Minato Station                         │ 0.900000000000001 │
│ GN Software                            │ 0.900000000000001 │
│ Focus Multimedia                       │ 0.900000000000001 │
│ Sweets                                 │ 0.9               │
│ Mamba Games                            │ 0.9               │
│ Lexicon Entertainment                  │ 0.9               │
│ Easy Interactive                       │ 0.9               │
│ Dusenberry Martin Racing               │ 0.9               │
│ Big Fish Games                         │ 0.9               │
│ WayForward Technologies                │ 0.9               │
│ Vap                                    │ 0.9               │
│ The Learning Company                   │ 0.9               │
│ TechnoSoft                             │ 0.9               │
│ Team17 Software                        │ 0.9               │
│ Pow                                    │ 0.9               │
│ Pony Canyon                            │ 0.9               │
│ Phantagram                             │ 0.9               │
│ Navarre Corp                           │ 0.9               │
│ Monte Christo Multimedia               │ 0.9               │
│ Milestone S.r.l                        │ 0.9               │
│ MediaQuest                             │ 0.9               │
│ Max Five                               │ 0.9               │
│ Marvel Entertainment                   │ 0.9               │
│ Ertain                                 │ 0.9               │
│ Alawar Entertainment                   │ 0.9               │
│ imageepoch Inc.                        │ 0.72              │
│ G.Rev                                  │ 0.72              │
│ Yamasa Entertainment                   │ 0.72              │
│ Gakken                                 │ 0.72              │
│ Devolver Digital                       │ 0.72              │
│ Alvion                                 │ 0.72              │
│ Summitsoft                             │ 0.72              │
│ Societa                                │ 0.72              │
│ Riverhillsoft                          │ 0.72              │
│ Playmore                               │ 0.72              │
│ MLB.com                                │ 0.72              │
│ Legacy Interactive                     │ 0.72              │
│ Kool Kizz                              │ 0.72              │
│ Ivolgamus                              │ 0.72              │
│ 49Games                                │ 0.72              │
│ 2D Boy                                 │ 0.72              │
│ id Software                            │ 0.54              │
│ Views                                  │ 0.54              │
│ Tryfirst                               │ 0.54              │
│ Sunflowers                             │ 0.54              │
│ Strategy First                         │ 0.54              │
│ Paon Corporation                       │ 0.54              │
│ Number None                            │ 0.54              │
│ Nexon                                  │ 0.54              │
│ NetRevo                                │ 0.54              │
│ Maximum Family Games                   │ 0.54              │
│ Kokopeli Digital Studios               │ 0.54              │
│ Kids Station                           │ 0.54              │
│ Kando Games                            │ 0.54              │
│ Kamui                                  │ 0.54              │
│ KSS                                    │ 0.54              │
│ Just Flight                            │ 0.54              │
│ Intergrow                              │ 0.54              │
│ HuneX                                  │ 0.54              │
│ Her Interactive                        │ 0.54              │
│ Headup Games                           │ 0.54              │
│ Fuji                                   │ 0.54              │
│ FuRyu Corporation                      │ 0.54              │
│ Fields                                 │ 0.54              │
│ Extreme Entertainment Group            │ 0.54              │
│ Dorart                                 │ 0.54              │
│ Datam Polystar                         │ 0.54              │
│ Cygames                                │ 0.54              │
│ BushiRoad                              │ 0.54              │
│ Blue Byte                              │ 0.54              │
│ Berkeley                               │ 0.54              │
│ Aerosoft                               │ 0.54              │
│ ASK                                    │ 0.54              │
│ Nitroplus                              │ 0.36              │
│ fonfun                                 │ 0.36              │
│ Warashi                                │ 0.36              │
│ Visco                                  │ 0.36              │
│ Technos Japan Corporation              │ 0.36              │
│ Sold Out                               │ 0.36              │
│ Saurus                                 │ 0.36              │
│ Revolution (Japan)                     │ 0.36              │
│ RED Entertainment                      │ 0.36              │
│ Quintet                                │ 0.36              │
│ Plenty                                 │ 0.36              │
│ Phoenix Games                          │ 0.36              │
│ Mycom                                  │ 0.36              │
│ Mirai Shounen                          │ 0.36              │
│ Masque Publishing                      │ 0.36              │
│ Marvelous Games                        │ 0.36              │
│ Lighthouse Interactive                 │ 0.36              │
│ King Records                           │ 0.36              │
│ Karin Entertainment                    │ 0.36              │
│ Introversion Software                  │ 0.36              │
│ Imageworks                             │ 0.36              │
│ Graphsim Entertainment                 │ 0.36              │
│ Giza10                                 │ 0.36              │
│ Giga                                   │ 0.36              │
│ Gaga                                   │ 0.36              │
│ GOA                                    │ 0.36              │
│ Codemasters Online                     │ 0.36              │
│ UIG Entertainment                      │ 0.18              │
│ Takuyo                                 │ 0.18              │
│ Stainless Games                        │ 0.18              │
│ Rain Games                             │ 0.18              │
│ Piacci                                 │ 0.18              │
│ Paradox Development                    │ 0.18              │
│ Otomate                                │ 0.18              │
│ Ongakukan                              │ 0.18              │
│ New World Computing                    │ 0.18              │
│ Naxat Soft                             │ 0.18              │
│ Michaelsoft                            │ 0.18              │
│ Media Entertainment                    │ 0.18              │
│ Inti Creates                           │ 0.18              │
│ Interworks Unlimited, Inc.             │ 0.18              │
│ Interchannel-Holon                     │ 0.18              │
│ Genterprise                            │ 0.18              │
│ Epic Games                             │ 0.18              │
│ EON Digital Entertainment              │ 0.18              │
│ Commseed                               │ 0.18              │
│ Boost On                               │ 0.18              │
│ Ascaron Entertainment                  │ 0.18              │
│ Publisher                              │ 0.0               │
└────────────────────────────────────────┴───────────────────┘
