Wanadoo,5
Tommo,5
"Time Warner Interactive",5
"The Adventure Company",5
"TDK Core",5
Shogakukan,5
Pinnacle,5
Nordcurrent,5
Mojang,5
"Mentor Interactive",5
"Media Works",5
"IE Institute",5
"Home Entertainment Suppliers",5
"Hip Interactive",5
Happinet,5
ESP,5
"Crystal Dynamics",5
Coleco,5
"AQ Interactive",5
"20th Century Fox Video Games",5
"Xseed Games",4
"Video System",4
ValuSoft,4
"U.S. Gold",4
"Trion Worlds",4
Touchstone,4
"TopWare Interactive",4
TGL,4
"System Soft",4
"Sunrise Interactive",4
"Slitherine Software",4
RedOctane,4
PlayV,4
"Pioneer LDC",4
Phenomedia,4
"Mercury Games",4
Laguna,4
"LSP Games",4
"Knowledge Adventure",4
KID,4
Interchannel,4
Imagic,4
"Global A Entertainment",4
Gamecock,4
Funsta,4
"Excalibur Publishing",4
Encore,4
Daito,4
"Culture Brain",4
7G//AMES,4
"Yuke's",3
"Yacht Club Games",3
"Xicat Interactive",3
"Vir2L Studios",3
"Valve Software",3
Tradewest,3
Tivola,3
Tigervision,3
Telstar,3
"System 3",3
"Sony Computer Entertainment America",3
"Slightly Mad Studios",3
"Red Storm Entertainment",3
"Princess Soft",3
"P2 Games",3
"O3 Entertainment",3
NovaLogic,3
NEC,3
NCS,3
"Myelin Media",3
"Mud Duck Productions",3
"Minato Station",3
"Micro Cabin",3
"Media Rings",3
Maxis,3
"Mad Catz",3
"MC2 Entertainment",3
"Licensed 4U",3
Jorudan,3
"Jester Interactive",3
"Jack of All Games",3
"Insomniac Games",3
"Indie Games",3
"Iceberg Interactive",3
Hect,3
"GN Software",3
"Focus Multimedia",3
"Experience Inc.",3
"Essential Games",3
"Data Design Interactive",3
"Daedalic Entertainment",3
Daedalic,3
"DHM Interactive",3
"Creative Core",3
"Asmik Ace Entertainment",3
"Ascaron Entertainment GmbH",3
"Aruze Corp",3
Arika,3
"Angel Studios",3
"Agatsuma Entertainment",3
Accolade,3
"ASC Games",3
"1C Company",3
"10TACLE Studios",3
responDESIGN,2
"imageepoch Inc.",2
Zenrin,2
"Yamasa Entertainment",2
"Virtual Play Games",2
Views,2
"Vic Tokai",2
"Vatical Entertainment",2
Syscom,2
Sweets,2
Sonnet,2
"Revolution Software",2
"Red Orb",2
"Rebellion Developments",2
Rebellion,2
"Performance Designed Products",2
Pack-In-Video,2
"Office Create",2
Nitroplus,2
"Nippon Telenet",2
NetRevo,2
Moss,2
Misawa,2
"Milestone S.r.l",2
"Media Factory",2
"Mamba Games",2
Magix,2
"Liquid Games",2
"Lexicon Entertainment",2
HuneX,2
"Harmonix Music Systems",2
"Hamster Corporation",2
"HMH Interactive",2
"Groove Games",2
Gamebridge,2
"Game Life",2
Gakken,2
"Gainax Network Systems",2
G.Rev,2
Funcom,2
Flight-Plan,2
"Flashpoint Games",2
Elf,2
"Electronic Arts Victor",2
Edia,2
"Easy Interactive",2
"Dusenberry Martin Racing",2
Dorart,2
"Devolver Digital",2
"Datam Polystar",2
"Data East",2
"Data Age",2
"Crimson Cow",2
"Core Design Ltd.",2
"Coconuts Japan",2
"Cloud Imperium Games Corporation",2
"CTO SpA",2
"Blue Byte",2
"Big Fish Games",2
BPS,2
Athena,2
"Asmik Corp",2
"Arena Entertainment",2
Alvion,2
"Alawar Entertainment",2
Aerosoft,2
"mixi, Inc",1
"inXile Entertainment",1
"id Software",1
iWin,1
fonfun,1
Yumedia,1
"Xing Entertainment",1
"Wizard Video Games",1
"White Park Bay Software",1
"Westwood Studios",1
"WayForward Technologies",1
Warp,1
Wargaming.net,1
Warashi,1
Visco,1
Vap,1
Valve,1
"Universal Gamex",1
Ultravision,1
"UIG Entertainment",1
"UEP Systems",1
Type-Moon,1
Tryfirst,1
"Tripwire Interactive",1
"The Learning Company",1
"Tetris Online",1
"Technos Japan Corporation",1
TechnoSoft,1
"Team17 Software",1
TalonSoft,1
Takuyo,1
TYO,1
TOHO,1
"T&E Soft",1
Sunflowers,1
Summitsoft,1
"Strategy First",1
"Starpath Corp.",1
"Stainless Games",1
"Square EA",1
"Sony Music Entertainment",1
"Sold Out",1
Societa,1
"Simon & Schuster Interactive",1
"Seventh Chord",1
Sears,1
Saurus,1
SSI,1
SPS,1
"SCS Software",1
Riverhillsoft,1
"Revolution (Japan)",1
"Rain Games",1
"RED Entertainment",1
Quintet,1
Quest,1
Quelle,1
Pow,1
"PopTop Software",1
"Pony Canyon",1
Plenty,1
Playmore,1
Playmates,1
Piacci,1
"Phoenix Games",1
"Phantom EFX",1
Phantagram,1
"Paradox Development",1
"Paon Corporation",1
"Panther Software",1
Palcom,1
"Pack In Soft",1
"Pacific Century Cyber Works",1
"PM Studios",1
Otomate,1
"Origin Systems",1
Ongakukan,1
"On Demand",1
"Number None",1
"Nippon Amuse",1
Nichibutsu,1
Nexon,1
"New World Computing",1
New,1
"Naxat Soft",1
"Navarre Corp",1
"NDA Productions",1
Mystique,1
Mycom,1
"Monte Christo Multimedia",1
Mitsui,1
"Mirai Shounen",1
Milestone,1
Michaelsoft,1
"Merscom LLC",1
Men-A-Vision,1
MediaQuest,1
"Media Entertainment",1
"Maximum Family Games",1
"Max Five",1
"Masque Publishing",1
"Marvelous Games",1
"Marvel Entertainment",1
"Magical Company",1
MLB.com,1
Locus,1
"Lighthouse Interactive",1
"Legacy Interactive",1
"Kool Kizz",1
"Kokopeli Digital Studios",1
"King Records",1
"Kids Station",1
"Karin Entertainment",1
"Kando Games",1
Kamui,1
KSS,1
"Just Flight",1
Ivolgamus,1
"Introversion Software",1
"Inti Creates",1
"Interworks Unlimited, Inc.",1
"Interplay Productions",1
Intergrow,1
Interchannel-Holon,1
Imax,1
Imageworks,1
"Image Epoch",1
Imadio,1
"Illusion Softworks",1
"ITT Family Games",1
"Her Interactive",1
"Hello Games",1
"Hearty Robin",1
"Headup Games",1
"Havas Interactive",1
"HAL Laboratory",1
"Griffin International",1
"Graphsim Entertainment",1
"Grand Prix Games",1
Glams,1
Giza10,1
Giga,1
Genterprise,1
"General Entertainment",1
Gameloft,1
GameTek,1
"Game Arts",1
Gaga,1
GOA,1
FunSoft,1
Fuji,1
"FuRyu Corporation",1
Fortyfive,1
Fields,1
"Extreme Entertainment Group",1
"Evolution Games",1
Ertain,1
"Epic Games",1
"Enjoy Gaming ltd.",1
Elite,1
Ecole,1
"EON Digital Entertainment",1
"EA Games",1
"DreamWorks Interactive",1
DigiCube,1
"Detn8 Games",1
Cygames,1
"Culture Publishers",1
Commseed,1
"CokeM Interactive",1
"Codemasters Online",1
"CPG Products",1
CCP,1
"CBS Electronics",1
BushiRoad,1
"Boost On",1
Bomb,1
"Bohemia Interactive",1
"Black Label Games",1
Berkeley,1
Axela,1
"Ascaron Entertainment",1
Aria,1
Aques,1
"Answer Software",1
"American Softworks",1
Altron,1
"Adeline Software",1
"Activision Blizzard",1
Abylight,1
ASK,1
"989 Sports",1
49Games,1
"2D Boy",1
